Time,Ax,Ay,Az,Gx,Gy,Gz
0.01655863,-8458.932,1654.906,-6114.25,-6908.671,1106.709,-4384.543,1
0.01655863,-8474.32,1608.236,-6113.595,-6920.616,1123.474,-4379.45,1
0.06624094,-8492.453,1590.161,-6128.39,-6930.142,1124.733,-4388.121,1
0.03311815,-8483.178,1625.601,-6121.558,-6923.107,1140.001,-4390.77,1
0.01656167,-8497.811,1658.343,-6089.096,-6943.214,1171.644,-4352.833,1
0.01656187,-8474.425,1662.484,-6118.792,-6920.923,1207.901,-4403.501,1
0.01655384,-8467.423,1699.991,-6137.487,-6911.239,1191.175,-4414.575,0
0.01655873,-8451.271,1660.351,-6162.373,-6899.028,1210.259,-4434.756,0
0.01647036,-8453.176,1704.699,-6208.551,-6900.648,1258.901,-4473.607,0
0.01647036,-8455.674,1736.033,-6225.657,-6902.697,1278.313,-4439.706,0
0.01656171,-8461.797,1748.234,-6143.944,-6907.486,1326.254,-4378.096,0
0.01656171,-8446.716,1747.844,-6058.001,-6904.917,1293.32,-4374.813,0
0.01654978,-8423.815,1737.733,-6121.053,-6878.683,1191.058,-4408.178,0
0.01656015,-8402.837,1685.926,-6132.161,-6871.736,1202.106,-4382.833,0
0.01656015,-8419.931,1672.235,-6106.109,-6880.596,1188.062,-4373.75,0
0.0165612,-8411.374,1679.277,-6159.056,-6869.793,1186.579,-4425.874,0
0.01655696,-8394.436,1659.358,-6164.455,-6857.049,1188.87,-4422.079,0
0.01655696,-8388.244,1645.687,-6155.855,-6852.552,1177.96,-4421.462,0
0.01656081,-8419.384,1635.249,-6117.6,-6876.549,1155.992,-4351.161,0
0.01756574,-8410.151,1609.759,-6108.231,-6869.585,1152.226,-4431.389,0
0.0169387,-8416.014,1650.317,-6145.252,-6883.032,1105.863,-4432.749,0
0.01656032,-8393.134,1615.049,-6184.947,-6861.191,1080.823,-4467.366,0
0.03312159,-8408.691,1608.406,-6230.008,-6868.782,1094.356,-4473.528,0
0.01618775,-8412.374,1575.855,-6231.039,-6880.536,1127.112,-4537.947,0
0.03355747,-8405.904,1641.071,-6277.669,-6866.773,1119.25,-4539.577,0
0.01656839,-8425.359,1655.091,-6266.196,-6881.702,1134.753,-4517.296,0
0.01656839,-8453.402,1621.561,-6233.227,-6911.965,1155.152,-4494.246,0
0.01656982,-8450.956,1661.597,-6195.409,-6901.104,1170.799,-4464.056,0
0.03314278,-8432.576,1695.647,-6185.54,-6886.986,1202.8,-4452.879,0
0.0165684,-8397.387,1711.057,-6189.175,-6860.118,1236.502,-4434.059,0
0.01614111,-8426.8,1711.063,-6158.191,-6882.697,1229.004,-4413.495,0
0.03357161,-8416.396,1728.319,-6195.776,-6879.188,1216.997,-4488.03,0
0.01712698,-8411.525,1717.768,-6225.031,-6866.638,1257.453,-4474.242,0
0.01712698,-8399.771,1734.049,-6197.715,-6862.163,1278.188,-4471.26,0
