Time,Ax,Ay,Az,Gx,Gy,Gz
0.01659323,-16348,-584,504,-3088,-204,293
0.01659323,-16440,-456,368,-3040,-201,422
0.01659397,-16448,-632,44,-3072,-114,307
0.01659528,-16396,-660,632,-3040,-79,102
0.01659426,-16496,-688,528,-3040,-173,247
0.01659492,-16440,-608,296,-3056,-166,217
0.0165949,-16420,-636,488,-3088,-142,169
0.0165949,-16448,-644,468,-3056,-90,152
0.01659275,-16364,-620,444,-3024,-133,339
0.01659416,-16428,-660,344,-3056,-75,183
0.01659416,-16332,-724,348,-3056,-47,115
0.01659427,-16404,-628,664,-3056,-145,148
0.01659421,-16432,-576,504,-3072,-200,363
0.01659488,-16368,-776,456,-3040,-229,151
0.01659577,-16312,-696,548,-3040,-392,332
0.01659247,-16532,-572,428,-3072,-358,240
0.01659482,-16388,-408,308,-3056,-315,96
0.01659383,-16408,-476,360,-3072,-227,107
0.01644288,-16372,-556,336,-3056,-139,112
0.01659447,-16340,-700,360,-3072,-106,54
0.01659447,-16432,-624,544,-3088,-176,220
0.01659466,-16452,-592,360,-3072,-42,393
0.01659466,-16516,-556,292,-3088,32,359
0.01659821,-16336,-592,328,-3040,-27,120
0.01659639,-16396,-628,328,-3024,-63,213
0.01659639,-16348,-616,440,-3072,-99,173
0.01659324,-16408,-608,388,-3040,-197,228
0.01659595,-16440,-664,288,-3104,-118,99
0.01659595,-16368,-584,472,-3040,-46,130
0.01659659,-16476,-724,176,-3024,-65,23
0.01659653,-16372,-792,616,-3056,-4,-76
0.01659653,-16364,-656,548,-3024,-75,71
0.01659375,-16624,-1040,332,-3040,-381,15
0.01659409,-16564,-712,68,-3072,-158,332
0.01659409,-16476,-424,184,-3072,-63,228
0.01659657,-16456,-464,76,-3056,-64,23
0.01659721,-16344,-768,428,-3072,-13,-91
0.01659574,-16428,-624,692,-3040,-71,93
0.01659806,-16408,-656,572,-3040,-134,231
0.01659806,-16472,-512,256,-3056,-115,224
0.01659586,-16540,-652,332,-3056,14,214
0.0165941,-16296,-648,444,-3040,11,151
0.0165941,-16448,-576,472,-3040,-115,186
0.01659933,-16360,-612,384,-3024,-86,114
0.01659581,-16532,-516,388,-3040,-78,68
0.01659581,-16400,-768,524,-3024,33,-141
0.01659377,-16516,-796,512,-3072,-117,209
0.01659408,-16388,-600,620,-3024,-193,287
0.01659624,-16296,-572,180,-3040,-193,183
0.01659624,-16348,-628,524,-3040,-160,-16
0.01659624,-16480,-728,440,-3008,-132,141
0.01659624,-16432,-584,560,-3056,-137,184
0.01659741,-16468,-656,356,-3040,-156,265
0.01659741,-16368,-496,524,-3040,-90,183
0.01659734,-16444,-584,572,-3024,26,109
0.01659879,-16408,-612,500,-3024,-135,204
0.01659879,-16388,-652,480,-3072,-118,186
0.01659618,-16364,-648,444,-3024,-84,241
0.01659588,-16380,-616,420,-3024,-103,156
0.01659949,-16348,-596,532,-3056,-164,221
0.01659469,-16432,-520,396,-3072,-299,280
0.01659709,-16484,-484,272,-3040,-346,237
0.01659615,-16432,-556,416,-3024,-146,152
0.01659555,-16392,-528,480,-3024,-93,248
0.01659464,-16324,-596,448,-3056,-16,115
0.01659725,-16436,-680,448,-3040,-50,122
0.01659725,-16376,-556,444,-3008,-31,138
0.01659732,-16304,-636,204,-3056,-126,197
0.01659596,-16392,-752,356,-3024,-72,84
0.0165955,-16480,-752,324,-3024,22,230
